/PaymentTransaction.java 170:            if (customerPtr == null) { | java.lang.Object@3be72d67, 
/PaymentTransaction.java 172:                customerPtr.adjustBalance(paymentAmount.negate()); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 173:                customerPtr.increaseYTD(paymentAmount); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 174:                customerPtr.incrementPaymentCount(); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 175:                if (customerPtr.getCreditStatus() == "BC") { | java.lang.Object@3be72d67, 
/PaymentTransaction.java 176:                    String newData = " " + customerPtr.getId() + " " + customerPtr.getDistrictId() + " " + customerPtr.getWarehouseId() + " " + districtId + " " + warehouseId + " " + paymentAmount + " "; | java.lang.Object@3be72d67, 
/PaymentTransaction.java 177:                    customerPtr.updateCustomerData(newData); | java.lang.Object@3be72d67, 
/CustomerReportTransaction.java 194:                        paymentDates[histCount - i] = payments[i].getDate(); | java.lang.Object@4d9935c8, 
/PaymentTransaction.java 179:                paymentTime = new Date(); | java.lang.Object@3be72d67, 
/CustomerReportTransaction.java 221:                reportTime = new Date(); | java.lang.Object@79fdc6a9, 
/CustomerReportTransaction.java 195:                        paymentAmount[histCount - i] = payments[i].getAmount(); | java.lang.Object@4d9935c8, 
/CustomerReportTransaction.java 208:                    if (order.getCustomerPtr() == customerPtr) { | java.lang.Object@79fdc6a9, 
/PaymentTransaction.java 180:                History hist = new History(customerPtr.getId(), customerPtr.getDistrictId(), customerPtr.getWarehouseId(), districtId, warehouseId, paymentTime, BigDecimal.valueOf(0, 2), null); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 181:                hist.buildData(warehousename, districtPtr.getName()); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 184:                    warehousePtr.removeOldestHistory(); | java.lang.Object@f5b8df5, 
/PaymentTransaction.java 182:                warehousePtr.updateHistory(hist); | java.lang.Object@f5b8df5, 
/StockLevelTransaction.java 110:                    JBButil.getLog().finest("  stock#=" + stockPtr.getId()); | java.lang.Object@3be72d67, 
/StockLevelTransaction.java 112:                if (stockPtr.getQuantity() < threshold) ++lowStock; | java.lang.Object@3be72d67, 
/PaymentTransaction.java 157:            warehousePtr.receivePayment(paymentAmount); | java.lang.Object@f5b8df5, 
/StockLevelTransaction.java 109:                if (JBButil.getLog().isLoggable(Level.FINEST)) { | java.lang.Object@3be72d67, 
/PaymentTransaction.java 159:            districtPtr.receivePayment(paymentAmount); | java.lang.Object@e101a13, 
/PaymentTransaction.java 164:                        customerPtr = company.getCustomer(uniqueCustomerId, true); | java.lang.Object@3be72d67, 
/StockLevelTransaction.java 102:                        if (JBButil.getLog().isLoggable(Level.FINEST)) { | java.lang.Object@3be72d67, 
/StockLevelTransaction.java 103:                            JBButil.getLog().finest("  orderline#=" + i + "  orderline=" + currentOrderLine); | java.lang.Object@3be72d67, 
/PaymentTransaction.java 168:                    customerPtr = company.getCustomerByLastName(customerWarehouseId, customerDistrictId, cust_last_name); | java.lang.Object@3be72d67, 
/NewOrderTransaction.java 147:                orderline_count = thisOrder.getOrderlineCount(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 167:                customerBalance = customerPtr.getBalance(); | java.lang.Object@3be72d67, 
/NewOrderTransaction.java 146:            if (thisOrder.processLines(warehousePtr, number_of_orderlines, rollback)) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 166:                customerId = customerPtr.getId(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 169:                customerMiddleName = customerPtr.getMiddleName(); | java.lang.Object@3be72d67, 
